Decoy,HostName,Failure Rate,New Flows,Failed Decoys
141.218.1.78,homepages.wmich.edu,0.24092409240924093,460,146
208.68.25.241,www.remc1.net,0.24093816631130063,356,113
142.54.12.17,mcesa-mcsb-lsfilter1a.mcesa.k12.mi.us,0.24120603015075376,151,48
198.111.176.188,dashapp.wccnet.edu,0.2416173570019724,769,245
207.73.7.25,vpn.norcocmh.org,0.24193548387096775,94,30
141.209.15.168,ls2.cmich.edu,0.242152466367713,169,54
141.211.169.55,um-grafana.osris.org,0.2421875,194,62
207.74.117.70,www.kuezproxy.palnet.info,0.24269005847953215,259,83
141.213.3.39,ece-scan.eecs.umich.edu,0.24285714285714285,53,17
141.213.3.185,bookalive.io,0.24316939890710382,277,89
198.111.164.72,monitor.cantonpl.org,0.24324324324324326,140,45
141.212.118.40,test.drownattack.com,0.24336283185840707,171,55
141.211.4.211,demo.tandem.ai.umich.edu,0.24338624338624337,143,46
141.214.65.187,mtqip.med.umich.edu,0.24352331606217617,146,47
164.76.7.55,www.ezproxy.emich.edu,0.24369747899159663,90,29
198.108.51.92,www.a2gov.org,0.24379232505643342,335,108
141.211.5.101,*.studentlife.umich.edu,0.2440944881889764,96,31
141.211.55.29,www.genesforgood.com,0.2441077441077441,449,145
141.213.3.97,eecs490.eecs.umich.edu,0.2441860465116279,195,63
198.108.220.112,copesd.org,0.2441860465116279,130,42
141.211.4.241,whe01-failover.lsa.umich.edu,0.24421052631578946,359,116
141.211.3.78,www.dsc.umich.edu,0.24427480916030533,99,32
141.211.217.200,appsanywhere.engin.umich.edu,0.24427480916030533,99,32
141.211.212.70,rtmps.icpsr.umich.edu,0.24429967426710097,232,75
136.228.36.60,www.tbaisd.k12.mi.us,0.24444444444444444,340,110
198.111.176.15,banner.wccnet.edu,0.24444444444444444,136,44
141.211.32.201,ssl.isr.umich.edu,0.24444444444444444,102,33
141.211.3.5,*.dsc.umich.edu,0.24458204334365324,244,79
141.211.20.203,addmasbp.dsc.umich.edu,0.24482758620689654,438,142
141.218.173.27,iefdf.wmich.edu,0.24489795918367346,259,84
141.211.4.163,vrack.miserver.it.umich.edu,0.24489795918367346,185,60
141.211.217.121,www.pavetraining.org,0.24489795918367346,74,24
207.74.195.33,policy.collegeforcreativestudies.edu,0.24509803921568626,462,150
141.211.3.74,www.dsc.umich.edu,0.24522292993630573,237,77
141.211.3.41,www.dsc.umich.edu,0.24528301886792453,80,26
164.76.158.49,emunixnew.emich.edu,0.24550898203592814,126,41
141.212.114.204,dijkstra.eecs.umich.edu,0.24561403508771928,86,28
142.54.12.19,mcesa-tc-lsfilter1a.mcesa.k12.mi.us,0.24567474048442905,218,71
141.211.3.73,www.dsc.umich.edu,0.24581724581724582,586,191
141.211.217.244,alertus.dpss.umich.edu,0.2458233890214797,316,103
141.211.7.210,weblogin.umich.edu,0.2459016393442623,138,45
136.228.36.71,www.tbaisd.k12.mi.us,0.2459016393442623,138,45
141.217.0.199,www.wayne.edu,0.2463768115942029,208,68
207.74.61.88,remote.charlevoixcounty.org,0.24651162790697675,162,53
141.214.2.72,act-shrine-stage.michr.med.umich.edu,0.24666666666666667,113,37
141.211.7.159,*.dsc.umich.edu,0.24669603524229075,342,112
207.75.165.125,wayf.incommonfederation.org,0.24671916010498687,287,94
141.213.154.102,vpn.bus.umich.edu,0.24691358024691357,61,20
141.211.217.156,www.carseatcompass.com,0.24705882352941178,64,21
141.214.9.179,d-idm.med.umich.edu,0.24731182795698925,70,23
141.219.64.202,clearpass02.tc.mtu.edu,0.24738675958188153,216,71
141.212.113.67,lobster.eecs.umich.edu,0.2475,301,99
206.57.250.84,captive-portal.peplink.com,0.24752475247524752,76,25
207.74.75.2,mail.tbchs.org,0.24761904761904763,79,26
141.211.168.169,mgetit.lib.umich.edu,0.24786324786324787,88,29
204.38.89.154,ps.laingsburg.k12.mi.us,0.24786324786324787,88,29
141.211.182.250,ccg.lsi.umich.edu,0.24806201550387597,97,32
198.109.24.222,www.udmercy.edu,0.24806201550387597,97,32
141.212.113.145,ecsel.eecs.umich.edu,0.24806201550387597,97,32
141.218.21.72,WFTS0.wmupd.wmich.edu,0.2480916030534351,197,65
141.211.28.136,weblogin-test.itcs.umich.edu,0.24812030075187969,300,99
198.108.98.25,encore.monroe.lib.mi.us,0.24817518248175183,103,34
207.73.7.15,vpn.norcocmh.org,0.24822695035460993,106,35
141.211.3.25,www.dsc.umich.edu,0.24836601307189543,115,38
207.73.186.2,remote.gennet.us,0.2484076433121019,118,39
208.68.25.212,www.remc1.net,0.2484725050916497,738,244
141.211.3.52,www.dsc.umich.edu,0.2484725050916497,369,122
141.218.144.252,repos.ceas.wmich.edu,0.2490842490842491,205,68
142.54.12.15,mcesa-mcsb-lspolicy1a.mcesa.k12.mi.us,0.24912280701754386,428,142
208.68.24.157,www.remc1.net,0.2491349480968858,434,144
198.108.220.121,www.copesd.org,0.24914675767918087,220,73
198.108.220.123,www.copesd.org,0.24916666666666668,901,299
208.68.24.145,www.remc1.net,0.24925816023738873,253,84
141.209.15.49,car54.cmich.edu,0.24945295404814005,343,114
141.214.2.43,find-pancancer-early.org,0.249500998003992,376,125
141.211.4.46,remotesupport.ath.umich.edu,0.24954792043399637,415,138
141.211.55.28,gcsdev.sph.umich.edu,0.25,363,121
